#CODE;RUSSIAN;x
EVTDESC61152;Ваш бывший регент, который посадил Вас в тюрьму по обвинению в безумии, больше не имеет влияния на двор. Новый регент выпустил Вас из тюрьмы.;x
EVTOPTA61152;Еще слишком рано.;x
EVTOPTB61152;Берегись, мир! Я иду!;x
EVTDESC61219;Вы успешно сорвали планы противника относительно регентства. [Root.Liege.GetTitledFirstName], к своему удовольствию, остается под Вашей службой.;x
EVTDESC61245;[From.GetTitledFirstName], словно бесхребетный трус, отказывается принять Ваш вызов.;x
EVTOPTA61245;Сопляк! Червь!;x
EVTDESC61246;В отчаянной попытке спасти свою шкуру [From.GetTitledFirstName] решает отречься от регентства над Вами.;x
EVTOPTA61246;Это было просто.;x
EVTDESC61226;Кровь Вашего противника капает на землю с меча, на который Вы оперлись перевести дыхание. Бой был коротким и жестоким, бедный глупец лежит раненым у Ваших ног, жалко цепляясь за жизнь. Победа за Вами.;x
EVTDESC61225;Кровь Вашего противника капает на землю с меча, на который Вы оперлись перевести дыхание. Бой был коротким и жестоким, бедный глупец лежит мертвым у Ваших ног.;x
EVTDESC61212;[Root.Regent.GetFirstName] дико рассекает воздух своим кинжалом, промахнувшись всего на волосок, и Вы бросаетесь прочь в панике. Стражники, вбежав в покои, хватают регента, откуда доносится крик: "Почему ты не хочешь умереть?!";x
EVTTOOLTIP61213;Брошен в темницу.;x
YEARLY_INCOME_LESS_THAN;Годовой доход меньше, чем ;x
YEARLY_INCOME_GREATER_THAN;Годовой доход больше, чем ;x
DE_JURE_LIEGE_CHANGED_NONE_SETUP;Территория изменила де-юре принадлежность.;x
DE_JURE_LIEGE_CHANGED_NONE_LOG;После §Y$YEARS$§! лет §Y$TITLE$§! теперь де-юре считается частью государства §Y$NEW_LIEGE$§!.;x
TITLE_CANNOT_USURP_REL_HEADS;Нельзя узурпировать титулы глав религий;x
INTERACTION_REQUIRES_NOT_IN_REVOLT;[Actor.GetBestName] не восстаёт против сюзерена;x
INTERACTION_REQUIRES_TP_IS_NOT_LIEGE;[Actor.GetBestName] не является вассалом, сюзерен которого - [ThirdPartyCharacter.GetBestName];x
BROKEN_SAVEGAME;§RПОВРЕЖДЁННОЕ СОХРАНЕНИЕ§!;x
